"","x"
"1",2.45672027254018e-05
"2",7.37597558783169e-05
"3",0.00012306874206428
"4",0.000172494436866695
"5",0.000222037116521237
"6",0.000271697057917401
"7",0.000321474538600046
"8",0.000371369836770947
"9",0.000421383231290351
"10",0.000471515001678534
"11",0.000521765428117365
"12",0.000572134791451869
"13",0.000622623373191799
"14",0.000673231455513211
"15",0.000723959321260035
"16",0.000774807253945662
"17",0.000825775537754525
"18",0.00087686445754369
"19",0.000928074298844446
"20",0.000979405347863899
"21",0.00103085789148658
"22",0.00108243221727603
"23",0.00113412861347643
"24",0.0011859473690142
"25",0.00123788877349961
"26",0.00128995311722841
"27",0.00134214069118345
"28",0.00139445178703628
"29",0.00144688669714883
"30",0.00149944571457501
"31",0.00155212913306233
"32",0.0016049372470536
"33",0.00165787035168853
"34",0.00171092874280538
"35",0.00176411271694264
"36",0.00181742257134065
"37",0.00187085860394332
"38",0.00192442111339972
"39",0.00197811039906581
"40",0.00203192676100608
"41",0.00208587049999525
"42",0.00213994191751993
"43",0.00219414131578032
"44",0.00224846899769187
"45",0.00230292526688703
"46",0.00235751042771688
"47",0.0024122247852529
"48",0.0024670686452886
"49",0.00252204231434129
"50",0.00257714609965377
"51",0.00263238030919604
"52",0.00268774525166703
"53",0.00274324123649633
"54",0.00279886857384591
"55",0.00285462757461186
"56",0.00291051855042612
"57",0.00296654181365824
"58",0.00302269767741708
"59",0.00307898645555263
"60",0.00313540846265771
"61",0.00319196401406974
"62",0.00324865342587251
"63",0.00330547701489794
"64",0.00336243509872788
"65",0.00341952799569581
"66",0.00347675602488872
"67",0.0035341195061488
"68",0.0035916187600753
"69",0.00364925410802627
"70",0.00370702587212039
"71",0.00376493437523875
"72",0.00382297994102666
"73",0.00388116289389547
"74",0.00393948355902438
"75",0.00399794226236222
"76",0.00405653933062934
"77",0.00411527509131936
"78",0.00417414987270109
"79",0.00423316400382026
"80",0.00429231781450145
"81",0.00435161163534988
"82",0.00441104579775328
"83",0.00447062063388374
"84",0.00453033647669954
"85",0.00459019365994707
"86",0.00465019251816263
"87",0.00471033338667433
"88",0.00477061660160399
"89",0.00483104249986894
"90",0.00489161141918402
"91",0.00495232369806334
"92",0.00501317967582227
"93",0.00507417969257929
"94",0.0051353240892579
"95",0.00519661320758853
"96",0.00525804739011044
"97",0.00531962698017364
"98",0.00538135232194081
"99",0.00544322376038924
"100",0.00550524164131271
"101",0.00556740631132348
"102",0.00562971811785419
"103",0.00569217740915981
"104",0.0057547845343196
"105",0.00581753984323903
"106",0.00588044368665178
"107",0.00594349641612165
"108",0.00600669838404458
"109",0.00607004994365056
